Player,player_height,Tm,2019-20
Glenn Robinson,200.66,GSW,"$1,882,867 "
Gary Trent,203.2,POR,"$1,416,852 "
Jaren Jackson,198.12,MEM,"$6,927,480 "
Pau Gasol,213.36,SAS,"$5,100,000 "
Tyson Chandler,215.9,HOU,"$2,564,753 "
Carmelo Anthony,203.2,POR,"$2,159,029 "
Shaun Livingston,200.66,GSW,"$666,667 "
Dwight Howard,210.82,MEM,"$3,039,097 "
Andre Iguodala,198.12,MEM,"$17,185,185 "
Gerald Green,203.2,HOU,"$2,564,753 "
LaMarcus Aldridge,210.82,SAS,"$26,000,000 "
Thabo Sefolosha,200.66,HOU,"$2,564,753 "
Rudy Gay,205.74,SAS,"$14,000,000 "
Marco Belinelli,195.58,SAS,"$5,846,154 "
Russell Westbrook,190.5,HOU,"$38,178,000 "
Anthony Tolliver,203.2,POR,"$2,564,753 "
Eric Gordon,190.5,HOU,"$14,057,730 "
DeMar DeRozan,200.66,SAS,"$27,739,975 "
DeMarre Carroll,203.2,SAS,"$7,000,000 "
James Harden,195.58,HOU,"$37,800,000 "
Patty Mills,182.88,SAS,"$12,428,571 "
Stephen Curry,190.5,GSW,"$40,231,758 "
Hassan Whiteside,213.36,POR,"$27,093,018 "
Alec Burks,198.12,GSW,"$2,320,044 "
Klay Thompson,200.66,GSW,"$32,742,000 "
Damian Lillard,190.5,POR,"$29,802,321 "
Festus Ezeli,210.82,POR,"$333,333 "
Draymond Green,200.66,GSW,"$18,539,130 "
Andrew Nicholson,205.74,POR,"$2,844,429 "
Austin Rivers,193.04,HOU,"$2,174,318 "
Kent Bazemore,195.58,POR,"$19,269,662 "
Jae Crowder,198.12,MEM,"$7,815,533 "
Miles Plumlee,210.82,MEM,"$12,500,000 "
CJ McCollum,193.04,POR,"$27,556,959 "
Ben McLemore,195.58,HOU,"$1,882,867 "
Solomon Hill,200.66,MEM,"$13,258,781 "
Rodney Hood,203.2,POR,"$5,718,000 "
Kyle Anderson,205.74,MEM,"$9,073,050 "
Clint Capela,208.28,HOU,"$16,456,522 "
Bruno Caboclo,205.74,MEM,"$1,845,301 "
Mario Hezonja,203.2,POR,"$1,737,145 "
Kevon Looney,205.74,GSW,"$4,629,630 "
Willie Cauley-Stein,213.36,GSW,"$2,177,483 "
Trey Lyles,208.28,SAS,"$5,500,000 "
Tyus Jones,187.96,MEM,"$8,408,000 "
D'Angelo Russell,195.58,GSW,"$27,285,000 "
Marquese Chriss,208.28,GSW,"$1,678,854 "
Troy Williams,200.66,HOU,"$122,741 "
Bryn Forbes,190.5,SAS,"$2,875,000 "
Danuel House,200.66,HOU,"$3,540,000 "
Dejounte Murray,195.58,SAS,"$2,321,735 "
